issue_number,title,file_path,cl_id,cl_subject,confidence,confidence_category,lines_inserted,lines_deleted,added_present,total_added,removed_absent,total_removed,validation_status,github_url
45428,crypto/tls: disable client-side TLS 1.0 and TLS 1.1,src/crypto/tls/handshake_test.go,359779,crypto/tls: set default minimum client version to TLS 1.2,1.0,high,2,0,2,2,0,0,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/handshake_test.go
45428,crypto/tls: disable client-side TLS 1.0 and TLS 1.1,src/crypto/tls/handshake_server_test.go,359779,crypto/tls: set default minimum client version to TLS 1.2,0.65,high,19,1,12,19,1,1,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/handshake_server_test.go
45428,crypto/tls: disable client-side TLS 1.0 and TLS 1.1,src/crypto/tls/common.go,359779,crypto/tls: set default minimum client version to TLS 1.2,0.6578947368421053,high,30,8,17,30,8,8,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/common.go
45428,crypto/tls: disable client-side TLS 1.0 and TLS 1.1,src/crypto/tls/handshake_server.go,359779,crypto/tls: set default minimum client version to TLS 1.2,1.0,high,3,3,3,3,3,3,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/handshake_server.go
45428,crypto/tls: disable client-side TLS 1.0 and TLS 1.1,src/crypto/tls/handshake_server_tls13.go,359779,crypto/tls: set default minimum client version to TLS 1.2,1.0,high,1,1,1,1,1,1,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/handshake_server_tls13.go
45428,crypto/tls: disable client-side TLS 1.0 and TLS 1.1,src/crypto/tls/handshake_client.go,359779,crypto/tls: set default minimum client version to TLS 1.2,0.875,high,4,4,3,4,4,4,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/handshake_client.go
45428,crypto/tls: disable client-side TLS 1.0 and TLS 1.1,doc/go1.17.html,327811,doc/go1.17: add Go 1.18 pre-announcements,0.0,not_found,17,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/doc/go1.17.html
48801,cmd/vet: check for time formats with 2006-02-01,src/cmd/vet/main.go,450495,cmd/vet: enable timeformat analyzer,1.0,high,2,0,2,2,0,0,analyzed,https://github.com/golang/go/blob/master/src/cmd/vet/main.go
48801,cmd/vet: check for time formats with 2006-02-01,src/cmd/vendor/golang.org/x/tools/go/analysis/passes/timeformat/timeformat.go,450495,cmd/vet: enable timeformat analyzer,0.6692307692307692,high,129,0,87,130,0,0,analyzed,https://github.com/golang/go/blob/master/src/cmd/vendor/golang.org/x/tools/go/analysis/passes/timeformat/timeformat.go
48801,cmd/vet: check for time formats with 2006-02-01,src/cmd/vendor/modules.txt,450495,cmd/vet: enable timeformat analyzer,1.0,high,1,0,1,1,0,0,analyzed,https://github.com/golang/go/blob/master/src/cmd/vendor/modules.txt
48801,cmd/vet: check for time formats with 2006-02-01,internal/lsp/source/options.go,354010,go/tools: add check for time formats with 2006-02-01,0.0,not_found,2,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/internal/lsp/source/options.go
48801,cmd/vet: check for time formats with 2006-02-01,gopls/doc/analyzers.md,354010,go/tools: add check for time formats with 2006-02-01,0.0,not_found,11,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/gopls/doc/analyzers.md
48801,cmd/vet: check for time formats with 2006-02-01,internal/lsp/source/api_json.go,354010,go/tools: add check for time formats with 2006-02-01,0.0,not_found,10,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/internal/lsp/source/api_json.go
48801,cmd/vet: check for time formats with 2006-02-01,go/analysis/passes/timeformat/testdata/src/a/a.go.golden,354010,go/tools: add check for time formats with 2006-02-01,0.0,not_found,50,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/go/analysis/passes/timeformat/testdata/src/a/a.go.golden
48801,cmd/vet: check for time formats with 2006-02-01,go/analysis/passes/timeformat/testdata/src/a/a.go,354010,go/tools: add check for time formats with 2006-02-01,0.0,not_found,50,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/go/analysis/passes/timeformat/testdata/src/a/a.go
48801,cmd/vet: check for time formats with 2006-02-01,go/analysis/passes/timeformat/timeformat_test.go,354010,go/tools: add check for time formats with 2006-02-01,0.0,not_found,17,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/go/analysis/passes/timeformat/timeformat_test.go
48801,cmd/vet: check for time formats with 2006-02-01,go/analysis/passes/timeformat/testdata/src/b/b.go,354010,go/tools: add check for time formats with 2006-02-01,0.0,not_found,11,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/go/analysis/passes/timeformat/testdata/src/b/b.go
48801,cmd/vet: check for time formats with 2006-02-01,go/analysis/passes/timeformat/timeformat.go,354010,go/tools: add check for time formats with 2006-02-01,0.0,not_found,131,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/go/analysis/passes/timeformat/timeformat.go
34875,go/doc: add ToMarkdown,src/go/doc/comment.go,223577,go/doc: make formatting comments more flexible using an interface,0.38050734312416556,low,508,249,90,504,195,245,analyzed,https://github.com/golang/go/blob/master/src/go/doc/comment.go
34875,go/doc: add ToMarkdown,src/go/doc/comment_test.go,223577,go/doc: make formatting comments more flexible using an interface,0.234375,low,120,8,22,120,8,8,analyzed,https://github.com/golang/go/blob/master/src/go/doc/comment_test.go
34875,go/doc: add ToMarkdown,godoc/internal/render/idents_test.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,132,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/idents_test.go
34875,go/doc: add ToMarkdown,godoc/internal/render/linkify_test.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,15,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/linkify_test.go
34875,go/doc: add ToMarkdown,godoc/internal/render/render.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,224,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/render.go
34875,go/doc: add ToMarkdown,godoc/internal/render/testdata/os.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,832,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/testdata/os.go
34875,go/doc: add ToMarkdown,godoc/internal/render/testdata/tar.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,401,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/testdata/tar.go
34875,go/doc: add ToMarkdown,godoc/internal/render/testdata/io.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,485,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/testdata/io.go
34875,go/doc: add ToMarkdown,godoc/internal/render/testdata/time.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,852,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/testdata/time.go
34875,go/doc: add ToMarkdown,godoc/internal/render/synopsis_test.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,178,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/synopsis_test.go
34875,go/doc: add ToMarkdown,godoc/internal/render/idents.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,343,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/idents.go
34875,go/doc: add ToMarkdown,godoc/internal/render/render_test.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,190,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/render_test.go
34875,go/doc: add ToMarkdown,godoc/internal/render/render_docs.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,636,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/render_docs.go
34875,go/doc: add ToMarkdown,godoc/internal/render/synopsis.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,209,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/synopsis.go
34875,go/doc: add ToMarkdown,godoc/internal/render/linkify.go,72890,godoc/internal/render: add render package for text formatting,0.0,not_found,442,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/godoc/internal/render/linkify.go
52132,x/crypto/ssh: add MultiAlgorithmSigner,ssh/handshake.go,508398,ssh: add MultiAlgorithmSigner,0.0,not_found,23,11,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/ssh/handshake.go
52132,x/crypto/ssh: add MultiAlgorithmSigner,ssh/example_test.go,508398,ssh: add MultiAlgorithmSigner,0.0,not_found,67,1,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/ssh/example_test.go
52132,x/crypto/ssh: add MultiAlgorithmSigner,ssh/keys_test.go,508398,ssh: add MultiAlgorithmSigner,0.0,not_found,34,3,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/ssh/keys_test.go
52132,x/crypto/ssh: add MultiAlgorithmSigner,ssh/certs.go,508398,ssh: add MultiAlgorithmSigner,0.0,not_found,30,8,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/ssh/certs.go
52132,x/crypto/ssh: add MultiAlgorithmSigner,ssh/handshake_test.go,508398,ssh: add MultiAlgorithmSigner,0.0,not_found,90,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/ssh/handshake_test.go
52132,x/crypto/ssh: add MultiAlgorithmSigner,ssh/certs_test.go,508398,ssh: add MultiAlgorithmSigner,0.0,not_found,94,6,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/ssh/certs_test.go
52132,x/crypto/ssh: add MultiAlgorithmSigner,ssh/client_auth_test.go,508398,ssh: add MultiAlgorithmSigner,0.0,not_found,68,1,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/ssh/client_auth_test.go
52132,x/crypto/ssh: add MultiAlgorithmSigner,ssh/client_auth.go,508398,ssh: add MultiAlgorithmSigner,0.0,not_found,66,30,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/ssh/client_auth.go
52132,x/crypto/ssh: add MultiAlgorithmSigner,ssh/keys.go,508398,ssh: add MultiAlgorithmSigner,0.0,not_found,82,6,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/ssh/keys.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/cipher_suites.go,191976,crypto/tls: remove SSLv3 support,0.7083333333333334,high,0,48,0,0,34,48,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/cipher_suites.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/prf.go,191976,crypto/tls: remove SSLv3 support,0.7553191489361702,high,2,92,2,2,69,92,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/prf.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/auth_test.go,191976,crypto/tls: remove SSLv3 support,0.875,high,0,8,0,0,7,8,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/auth_test.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/handshake_test.go,191976,crypto/tls: remove SSLv3 support,0.6666666666666666,high,1,2,0,1,2,2,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/handshake_test.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/tls_test.go,191976,crypto/tls: remove SSLv3 support,1.0,high,0,1,0,0,1,1,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/tls_test.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/handshake_server.go,191976,crypto/tls: remove SSLv3 support,0.5,medium,3,3,0,3,3,3,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/handshake_server.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/conn.go,191976,crypto/tls: remove SSLv3 support,0.5384615384615384,medium,3,23,3,3,11,23,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/conn.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/handshake_client.go,191976,crypto/tls: remove SSLv3 support,0.5,medium,2,2,0,2,2,2,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/handshake_client.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/prf_test.go,191976,crypto/tls: remove SSLv3 support,0.5,medium,0,16,0,0,8,16,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/prf_test.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/handshake_server_test.go,191976,crypto/tls: remove SSLv3 support,0.5172413793103449,medium,5,24,5,5,10,24,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/handshake_server_test.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/handshake_server_tls13.go,191976,crypto/tls: remove SSLv3 support,0.5,medium,1,1,0,1,1,1,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/handshake_server_tls13.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/common.go,191976,crypto/tls: remove SSLv3 support,0.48484848484848486,low,12,21,4,12,12,21,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/common.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/key_agreement.go,191976,crypto/tls: remove SSLv3 support,0.4666666666666667,low,5,8,5,6,2,9,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/key_agreement.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/common.go,184102,crypto/tls: deprecate SSLv3 support,0.2,low,4,1,1,4,0,1,analyzed,https://github.com/golang/go/blob/master/src/crypto/tls/common.go
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/testdata/Server-SSLv3-RSA-AES,191976,crypto/tls: remove SSLv3 support,0.0,not_found,0,77,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/src/crypto/tls/testdata/Server-SSLv3-RSA-AES
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/testdata/Server-SSLv3-RSA-3DES,191976,crypto/tls: remove SSLv3 support,0.0,not_found,0,76,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/src/crypto/tls/testdata/Server-SSLv3-RSA-3DES
32716,crypto/tls: remove SSLv3 support,src/crypto/tls/testdata/Server-SSLv3-RSA-RC4,191976,crypto/tls: remove SSLv3 support,0.0,not_found,0,72,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/src/crypto/tls/testdata/Server-SSLv3-RSA-RC4
32716,crypto/tls: remove SSLv3 support,doc/go1.13.html,184102,crypto/tls: deprecate SSLv3 support,0.0,not_found,8,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/doc/go1.13.html
51777,net/netip: add IPv6Loopback,src/net/netip/netip_test.go,412475,net/netip: add IPv6LinkLocalAllRouters and IPv6Loopback,1.0,high,12,0,12,12,0,0,analyzed,https://github.com/golang/go/blob/master/src/net/netip/netip_test.go
51777,net/netip: add IPv6Loopback,src/net/netip/netip.go,412475,net/netip: add IPv6LinkLocalAllRouters and IPv6Loopback,0.7142857142857143,high,7,0,5,7,0,0,analyzed,https://github.com/golang/go/blob/master/src/net/netip/netip.go
51777,net/netip: add IPv6Loopback,api/next/51766.txt,412475,net/netip: add IPv6LinkLocalAllRouters and IPv6Loopback,0.0,not_found,1,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/api/next/51766.txt
51777,net/netip: add IPv6Loopback,api/next/51777.txt,412475,net/netip: add IPv6LinkLocalAllRouters and IPv6Loopback,0.0,not_found,1,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/api/next/51777.txt
47164,log: optimize SetOutput(io.Discard),src/log/log_test.go,348741,log: don't format if writing to io.Discard,0.8571428571428571,high,13,1,11,13,1,1,analyzed,https://github.com/golang/go/blob/master/src/log/log_test.go
47164,log: optimize SetOutput(io.Discard),src/log/log.go,348741,log: don't format if writing to io.Discard,0.5660377358490566,medium,42,11,19,42,11,11,analyzed,https://github.com/golang/go/blob/master/src/log/log.go
42710,hash/maphash: add Bytes and String,src/hash/maphash/maphash_test.go,278758,hash/maphash: optimize Write and WriteString,0.8596491228070176,high,48,9,45,48,4,9,analyzed,https://github.com/golang/go/blob/master/src/hash/maphash/maphash_test.go
42710,hash/maphash: add Bytes and String,src/hash/maphash/maphash.go,278758,hash/maphash: optimize Write and WriteString,0.8076923076923077,high,59,19,45,59,18,19,analyzed,https://github.com/golang/go/blob/master/src/hash/maphash/maphash.go
42710,hash/maphash: add Bytes and String,src/hash/maphash/maphash.go,278759,hash/maphash: manually inline setSeed,0.7272727272727273,high,4,7,4,4,4,7,analyzed,https://github.com/golang/go/blob/master/src/hash/maphash/maphash.go
42710,hash/maphash: add Bytes and String,src/hash/maphash/maphash_test.go,392494,hash/maphash: add Bytes and String,0.7419354838709677,high,42,22,37,41,9,21,analyzed,https://github.com/golang/go/blob/master/src/hash/maphash/maphash_test.go
42710,hash/maphash: add Bytes and String,src/hash/maphash/maphash.go,392494,hash/maphash: add Bytes and String,0.75,high,48,0,36,48,0,0,analyzed,https://github.com/golang/go/blob/master/src/hash/maphash/maphash.go
42710,hash/maphash: add Bytes and String,src/hash/maphash/maphash.go,278760,hash/maphash: increase the buffer size,1.0,high,1,1,1,1,1,1,analyzed,https://github.com/golang/go/blob/master/src/hash/maphash/maphash.go
42710,hash/maphash: add Bytes and String,api/next/42710.txt,392494,hash/maphash: add Bytes and String,0.0,not_found,2,0,0,0,0,0,file_not_found,https://github.com/golang/go/blob/master/api/next/42710.txt
46259,syscall: add Jail int32 to SysProcAttr on FreeBSD,src/syscall/exec_freebsd.go,458335,syscall: add jail support to ForkExec on FreeBSD,0.9,high,10,0,9,10,0,0,analyzed,https://github.com/golang/go/blob/master/src/syscall/exec_freebsd.go
